>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
<<< 4483410660009 request and wait for format | ./lib/src/cli/options.dart
>>> 4483410660025 request and wait for format | ./lib/src/cli/output.dart
>>> 4483410660028 send format request | ./lib/src/cli/output.dart
<<< 4483410660048 send format request | ./lib/src/cli/output.dart
>>> 4483410660050 format | ./lib/src/cli/output.dart
<<< 4483410719590 format | ./lib/src/cli/output.dart
>>> 4483410719595 send format response | ./lib/src/cli/output.dart
<<< 4483410719610 send format response | ./lib/src/cli/output.dart
<<< 4483410719741 request and wait for format | ./lib/src/cli/output.dart
>>> 4483410719755 request and wait for format | ./lib/src/cli/show.dart
>>> 4483410719759 send format request | ./lib/src/cli/show.dart
<<< 4483410719773 send format request | ./lib/src/cli/show.dart
>>> 4483410719775 format | ./lib/src/cli/show.dart
<<< 4483410779642 format | ./lib/src/cli/show.dart
>>> 4483410779650 send format response | ./lib/src/cli/show.dart
<<< 4483410779667 send format response | ./lib/src/cli/show.dart
<<< 4483410779805 request and wait for format | ./lib/src/cli/show.dart
>>> 4483410779819 request and wait for format | ./lib/src/cli/summary.dart
>>> 4483410779822 send format request | ./lib/src/cli/summary.dart
<<< 4483410779837 send format request | ./lib/src/cli/summary.dart
>>> 4483410779839 format | ./lib/src/cli/summary.dart
<<< 4483410839551 format | ./lib/src/cli/summary.dart
>>> 4483410839557 send format response | ./lib/src/cli/summary.dart
<<< 4483410839572 send format response | ./lib/src/cli/summary.dart
<<< 4483410839696 request and wait for format | ./lib/src/cli/summary.dart
>>> 4483410839708 request and wait for format | ./lib/src/comment_type.dart
>>> 4483410839710 send format request | ./lib/src/comment_type.dart
<<< 4483410839724 send format request | ./lib/src/comment_type.dart
>>> 4483410839726 format | ./lib/src/comment_type.dart
<<< 4483410899439 format | ./lib/src/comment_type.dart
>>> 4483410899453 send format response | ./lib/src/comment_type.dart
<<< 4483410899478 send format response | ./lib/src/comment_type.dart
<<< 4483410899629 request and wait for format | ./lib/src/comment_type.dart
>>> 4483410899642 request and wait for format | ./lib/src/constants.dart
>>> 4483410899647 send format request | ./lib/src/constants.dart
<<< 4483410899661 send format request | ./lib/src/constants.dart
>>> 4483410899664 format | ./lib/src/constants.dart
<<< 4483410959152 format | ./lib/src/constants.dart
>>> 4483410959157 send format response | ./lib/src/constants.dart
<<< 4483410959168 send format response | ./lib/src/constants.dart
